Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
4;202305;;;;;;TOTS EMPORDÀ;12.799;0,06;0,04;0,06;Concejales;79
4;202305;;;;;;ENS UNEIX;11.971;0,05;0,03;0,05;Concejales;38
4;202305;;;;;;UNION POR LEGANES;11.408;0,05;0,03;0,05;Concejales;3
4;202305;;;;;;ADELANTE IZQUIERDA GADITANA;11.320;0,05;0,03;0,05;Concejales;6
4;202305;;;;;;POR MI PUEBLO;11.182;0,05;0,03;0,05;Concejales;37
4;202305;;;;;;CIUDADANOS PARA EL CAMBIO CANARIO;10.223;0,05;0,03;0,05;Concejales;7
4;202305;;;;;;MÁS MADRID COMPROMISO CON GETAFE;10.059;0,04;0,03;0,05;Concejales;3
4;202305;;;;;;POR UN MUNDO MAS JUSTO;9.653;0,04;0,03;0,04;Concejales;0
4;202305;;;;;;JAÉN MERECE MÁS;9.379;0,04;0,03;0,04;Concejales;12
4;202305;;;;;;JUNTOS POR EXTREMADURA;8.539;0,04;0,02;0,04;Concejales;33
4;202305;;;;;;INDEPENDIENTES DE LA SELVA;8.091;0,04;0,02;0,04;Concejales;50
4;202305;;;;;;GRUPO INDEPENDIENTE PRO MUNICIPIO DE TORRE DEL MAR;7.983;0,04;0,02;0,04;Concejales;6
4;202305;;;;;;AGRUPACIÓN DE ELECTORES ROQUE AGUAYRO;7.854;0,04;0,02;0,04;Concejales;14
4;202305;;;;;;ZAMORA SÍ;7.731;0,03;0,02;0,04;Concejales;100
4;202305;;;;;;PODEMOS - ESQUERDA UNIDA;7.307;0,03;0,02;0,03;Concejales;0
4;202305;;;;;;TERRA GALEGA;7.235;0,03;0,02;0,03;Concejales;10
4;202305;;;;;;BARCELONA ETS TU;7.196;0,03;0,02;0,03;Concejales;0
4;202305;;;;;;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;7.061;0,03;0,02;0,03;Concejales;0
4;202305;;;;;;SIEMPRE DON BENITO;6.621;0,03;0,02;0,03;Concejales;7
4;202305;;;;;;LEVANTA EXTREMADURA;6.487;0,03;0,02;0,03;Concejales;63
4;202305;;;;;;FEDERACIO D'INDEPENDENTS DE CATALUNYA;6.486;0,03;0,02;0,03;Concejales;67
4;202305;;;;;;AHORA INDEPENDIENTES;6.485;0,03;0,02;0,03;Concejales;29
4;202305;;;;;;PROFESIONALES POR MADRID-RECUPERA MADRID;6.442;0,03;0,02;0,03;Concejales;0
4;202305;;;;;;POR LA RIOJA;6.358;0,03;0,02;0,03;Concejales;51
4;202305;;;;;;PARTIDO RIOJANO + ESPAÑA VACIADA;6.297;0,03;0,02;0,03;Concejales;16
4;202305;;;;;;VÍA BURGALESA;6.238;0,03;0,02;0,03;Concejales;77
4;202305;;;;;;MUNICIPALISTES DE CATALUNYA;6.077;0,03;0,02;0,03;Concejales;3
4;202305;;;;;;AGRUPACION SOCIALISTA GOMERA;5.736;0,03;0,02;0,03;Concejales;36
4;202305;;;;;;IZQUIERDA INDEPENDIENTE INICIATIVA SAN SEBASTIAN DE LOS REYES;5.703;0,03;0,02;0,03;Concejales;3
4;202305;;;;;;MAREA ATLÁNTICA;5.628;0,03;0,02;0,03;Concejales;0
4;202305;;;;;;COALICION POR MELILLA;5.590;0,02;0,02;0,03;Concejales;5
4;202305;;;;;;TERCERA EDAD EN ACCIÓN;5.586;0,02;0,02;0,03;Concejales;1
4;202305;;;;;;ESPAZO COMÚN;5.577;0,02;0,02;0,03;Concejales;12
4;202305;;;;;;PARTIDO POPULAR - AGRUPACIÓN DE VECINOS DE SAN BARTOLOMÉ DE TIRAJANA;5.363;0,02;0,02;0,02;Concejales;7
4;202305;;;;;;COALICIÓN POR EL BIERZO;5.255;0,02;0,01;0,02;Concejales;18
4;202305;;;;;;JUNTOS POR MOGÁN;5.188;0,02;0,01;0,02;Concejales;17
4;202305;;;;;;PROJECTE OLIVA - PROYECTO OLIVA;5.126;0,02;0,01;0,02;Concejales;10
4;202305;;;;;;SI CARTAGENA;5.074;0,02;0,01;0,02;Concejales;1
4;202305;;;;;;HABLEMOS AHORA;4.890;0,02;0,01;0,02;Concejales;0
4;202305;;;;;;INDEPENDENTS DE CATALUNYA;4.781;0,02;0,01;0,02;Concejales;27
4;202305;;;;;;ILUSIONA;4.695;0,02;0,01;0,02;Concejales;11
4;202305;;;;;;ALMERIA AVANZA;4.681;0,02;0,01;0,02;Concejales;5
4;202305;;;;;;ESPAÑA VACIADA;4.651;0,02;0,01;0,02;Concejales;44
4;202305;;;;;;AGRUPACION INDEPENDIENTE DE SANTA URSULA;4.640;0,02;0,01;0,02;Concejales;12
4;202305;;;;;;OPCION SAMPEDREÑA;4.631;0,02;0,01;0,02;Concejales;3
4;202305;;;;;;CONTAMOS;4.581;0,02;0,01;0,02;Concejales;16
4;202305;;;;;;COMPOSTELA ABERTA;4.446;0,02;0,01;0,02;Concejales;2
4;202305;;;;;;LA FORTALEZA DE SANTA LUCIA;4.432;0,02;0,01;0,02;Concejales;5
4;202305;;;;;;PLATAFORMA INDEPENDIENTE MUNICIPAL DE VILLALBILLA;4.385;0,02;0,01;0,02;Concejales;9
4;202305;;;;;;INICIATIVA POR EL ROSARIO-VERDES;4.322;0,02;0,01;0,02;Concejales;9
4;202305;;;;;;SOM MOVIMENT D'ESQUERRES DE CATALUNYA;4.296;0,02;0,01;0,02;Concejales;12
4;202305;;;;;;PARTIDO INDEPENDIENTE DE TORRE PACHECO;4.179;0,02;0,01;0,02;Concejales;6
4;202305;;;;;;VAMOS PALENCIA;4.177;0,02;0,01;0,02;Concejales;3
4;202305;;;;;;MÁS MADRID;4.161;0,02;0,01;0,02;Concejales;1
4;202305;;;;;;SENTIR ARANDA;4.118;0,02;0,01;0,02;Concejales;6
4;202305;;;;;;INDEPENDIENTES POR ARROYO DE LA ENCOMIENDA;4.109;0,02;0,01;0,02;Concejales;9
4;202305;;;;;;VECINOS POR TORRELODONES;4.102;0,02;0,01;0,02;Concejales;7
4;202305;;;;;;ALTERNATIVA ICODENSE;4.093;0,02;0,01;0,02;Concejales;8
4;202305;;;;;;MÁS COSTA TROPICAL;3.953;0,02;0,01;0,02;Concejales;6
4;202305;;;;;;DECIDIX;3.938;0,02;0,01;0,02;Concejales;5
4;202305;;;;;;COALICION MAS REGION - VERDES EQUO;3.882;0,02;0,01;0,02;Concejales;0
4;202305;;;;;;MOVIMIENTO POR LA DIGNIDAD Y LA CIUDADANÍA DE CEUTA;3.848;0,02;0,01;0,02;Concejales;3
4;202305;;;;;;LA VOZ DEL PUEBLO;3.817;0,02;0,01;0,02;Concejales;12
4;202305;;;;;;GRUPO POLITICO INICIATIVA PORTEÑA;3.762;0,02;0,01;0,02;Concejales;3
4;202305;;;;;;UNION PORTUENSE;3.755;0,02;0,01;0,02;Concejales;2
4;202305;;;;;;POR TRES CANTOS;3.733;0,02;0,01;0,02;Concejales;3
4;202305;;;;;;CANDIDATURA POPULAR DEL VALLE DE ARANGUREN;3.691;0,02;0,01;0,02;Concejales;11
4;202305;;;;;;ARA DECIDIM RIPOLLET;3.651;0,02;0,01;0,02;Concejales;6
4;202305;;;;;;UNIDOS POR PUNTA UMBRÍA;3.634;0,02;0,01;0,02;Concejales;8
4;202305;;;;;;PARTIDO NUESTRA TIERRA;3.562;0,02;0,01;0,02;Concejales;43
4;202305;;;;;;MCV CORAZÓN VILLALBINO;3.541;0,02;0,01;0,02;Concejales;3
4;202305;;;;;;FRONT NACIONAL DE CATALUNYA;3.524;0,02;0,01;0,02;Concejales;6
4;202305;;;;;;POR HUELVA;3.500;0,02;0,01;0,02;Concejales;19
4;202305;;;;;;FEDERACION DE LOS INDEPENDIENTES DE ARAGON;3.464;0,02;0,01;0,02;Concejales;9
4;202305;;;;;;CEUTA YA!;3.442;0,02;0,01;0,02;Concejales;2
4;202305;;;;;;UNION POR CAMBRE;3.380;0,02;0,01;0,02;Concejales;7
4;202305;;;;;;INDEPENDIENTES DEL ALTIPLANO;3.373;0,02;0,01;0,02;Concejales;19
4;202305;;;;;;ANDALUCISTAS TOCINA Y LOS ROSALES;3.371;0,02;0,01;0,02;Concejales;11
4;202305;;;;;;DECIDE BURGOS;3.365;0,02;0,01;0,02;Concejales;0
4;202305;;;;;;LIBRES POR EUSKADI;3.345;0,01;0,01;0,02;Concejales;0
4;202305;;;;;;CONCELLOS DO INTERIOR CON FUTURO;3.279;0,01;0,01;0,01;Concejales;16
4;202305;;;;;;VERDES EQUO;3.268;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;PARTIDO LOCAL DE VILLANUEVA DEL PARDILLO;3.214;0,01;0,01;0,01;Concejales;7
4;202305;;;;;;FEDERACIÓN DE PARTIDOS DE LA COMUNIDAD VALENCIANA;3.206;0,01;0,01;0,01;Concejales;36
4;202305;;;;;;MAS POR ARONA;3.169;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;ASAMBLEAS MUNICIPALES DE FUERTEVENTURA;3.159;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;UNION INDEPENDIENTE DE MAZARRON;3.140;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;GANAR: IZQUIERDA UNIDA;3.139;0,01;0,01;0,01;Concejales;19
4;202305;;;;;;MÓSTOLES, ¡POR FIN!;3.136;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;COALICIÓN DE CENTRO DEMOCRÁTICO;3.097;0,01;0,01;0,01;Concejales;16
4;202305;;;;;;UNIDOS POR CHIPIONA;3.010;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;CAMBIAR: IZQUIERDA UNIDA;2.998;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;FERROL EN COMÚN;2.906;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;FUTURO ALCOBENDAS-CIUDADANOS;2.889;0,01;0,01;0,01;Concejales;1
4;202305;;;;;;CONTIGO AVANZAMOS;2.858;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;COMPROMISO POR GALICIA;2.856;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;ABOTSANITZ;2.834;0,01;0,01;0,01;Concejales;7
4;202305;;;;;;PARTIDO GANEMOS PELIGROS;2.812;0,01;0,01;0,01;Concejales;10
